slug,showcased,title,series_name,release_date,japanese_title,url,runtime,poster_url,transliteration,translation,aliases_json
avalon-2001,TRUE,Avalon,,2001-01-20,アヴァロン,/films/avalon-2001,106,/static/images/films/posters/avalon-2001.webp,Avaron,Avalon,[]
azumi-2-death-or-love-2005,TRUE,Azumi 2: Death or Love,Azumi,2005-03-12,あずみ2 Death or Love,/films/azumi-2-death-or-love-2005,112,/static/images/films/posters/azumi-2-death-or-love-2005.webp,Azumi 2 Death or Love,Azumi 2 Death or Love,[]
azumi-2003,TRUE,Azumi,Azumi,2003-05-10,あずみ,/films/azumi-2003,142,/static/images/films/posters/azumi-2003.webp,Azumi,Azumi,[]
ballad-2009,TRUE,Ballad,,2009-09-05,BALLAD 名もなき恋のうた,/films/ballad-2009,132,/static/images/films/posters/ballad-2009.webp,Ballad Namonaki Koi No Uta,Ballad Nameless Love Song,[]
battle-in-outer-space-1959,TRUE,Battle in Outer Space,,1959-12-26,宇宙大戦争,/films/battle-in-outer-space-1959,91,/static/images/films/posters/battle-in-outer-space-1959.webp,Uchû Daisensô,Space Great War,[]
battle-royale-2000,TRUE,Battle Royale,Battle Royale,2000-12-16,バトル・ロワイアル,/films/battle-royale-2000,114,/static/images/films/posters/battle-royale-2000.webp,Batoru Rowaiaru,Battle Royale,[]
battle-royale-ii-requiem-2003,TRUE,Battle Royale II: Requiem,Battle Royale,2003-07-05,バトル・ロワイアルII <ruby>鎮魂歌<rt>レクイエム</rt></ruby>,/films/battle-royale-ii-requiem-2003,133,/static/images/films/posters/battle-royale-ii-requiem-2003.webp,Batoru Rowaiaru II Chinkonka (Rekuiemu),Battle Royale II Requiem,[]
booted-babe-busted-boss-1968,FALSE,"Booted Babe, Busted Boss","100 Shot, 100 Killed",1968-03-16,100発100中 黄金の眼,,,,,,
bravo-young-guy-1970,FALSE,"Bravo, Young Guy",Young Guy,1970-01-01,ブラボー!若大将,,,,,,
bullet-train-1975,TRUE,The Bullet Train,,1975-07-05,新幹線大爆破,/films/bullet-train-1975,152,/static/images/films/posters/bullet-train-1975.webp,Shinkansen Daibakuha,Bullet Train Great Explosion,[]
campus-a-go-go-1965,FALSE,Campus A-Go-Go,Young Guy,1965-12-19,エレキの若大将,,,,,,
casshern-2004,TRUE,Casshern,,2004-04-24,CASSHERN,/films/casshern-2004,141,/static/images/films/posters/casshern-2004.webp,,,[]
castle-in-the-sky-1986,TRUE,Castle in the Sky,,1986-08-02,天空の城ラピュタ,/films/castle-in-the-sky-1986,124,/static/images/films/posters/castle-in-the-sky-1986.webp,Tenkû No Shiro Rapyuta,Castle Laputa in the Sky,[]
